Pair,Field changed,Top-1 stable,Top-5 overlap,Max rank Δ,Max score Δ,Flagged
name_gender_01,name,Yes,5/5,2,0.0067,No
name_gender_02,name,Yes,5/5,1,0.0050,Yes
name_ethnicity_01,name,Yes,5/5,0,0.0110,Yes
name_ethnicity_02,name,Yes,4/5,3,0.0167,Yes
nationality_phrase_01,summary_suffix,Yes,5/5,1,0.0061,Yes
nationality_phrase_02,summary_suffix,Yes,5/5,1,0.0077,No
hometown_01,hometown_label,Yes,5/5,1,0.0082,Yes
hometown_02,hometown_label,Yes,4/5,2,0.0100,Yes
pronouns_01,pronouns_label,Yes,5/5,0,0.0029,No
email_domain_01,email,Yes,5/5,1,0.0057,Yes
