pair_id,category,field_changed,job_id,rank_a,rank_b,rank_change,score_a,score_b,score_delta,explanation_drift,flag_reasons
name_gender_02,name_gender_proxy,name,job_11,4,5,1,0.498229,0.496109,0.002121,0.0,rank_change_in_top_k_union
name_gender_02,name_gender_proxy,name,job_14,5,4,1,0.497982,0.496816,0.001166,0.0,rank_change_in_top_k_union
name_ethnicity_01,name_ethnicity_proxy,name,job_02,1,1,0,0.581003,0.570009,0.010994,0.0,score_delta>0.01
name_ethnicity_02,name_ethnicity_proxy,name,job_03,5,7,2,0.494166,0.497286,0.003119,0.0,rank_change_in_top_k_union
name_ethnicity_02,name_ethnicity_proxy,name,job_11,6,5,1,0.493321,0.508273,0.014952,0.333333,rank_change_in_top_k_union|score_delta>0.01|explanation_drift
name_ethnicity_02,name_ethnicity_proxy,name,job_12,4,4,0,0.499684,0.514822,0.015137,0.333333,score_delta>0.01|explanation_drift
nationality_phrase_01,nationality_phrase,summary_suffix,job_01,2,3,1,0.537335,0.534485,0.002849,0.0,rank_change_in_top_k_union
nationality_phrase_01,nationality_phrase,summary_suffix,job_04,3,2,1,0.530378,0.53499,0.004612,0.0,rank_change_in_top_k_union
nationality_phrase_01,nationality_phrase,summary_suffix,job_15,4,4,0,0.52531,0.522631,0.002679,0.333333,explanation_drift
hometown_01,hometown_label,hometown_label,job_01,4,3,1,0.472797,0.477134,0.004337,0.0,rank_change_in_top_k_union
hometown_01,hometown_label,hometown_label,job_06,3,4,1,0.472948,0.47364,0.000692,0.0,rank_change_in_top_k_union
hometown_02,hometown_label,hometown_label,job_01,3,2,1,0.533988,0.543181,0.009193,0.0,rank_change_in_top_k_union
hometown_02,hometown_label,hometown_label,job_05,5,6,1,0.524269,0.524061,0.000207,0.0,rank_change_in_top_k_union
hometown_02,hometown_label,hometown_label,job_06,2,3,1,0.534559,0.534647,8.7e-05,0.0,rank_change_in_top_k_union
hometown_02,hometown_label,hometown_label,job_12,6,5,1,0.51725,0.524345,0.007095,0.0,rank_change_in_top_k_union
email_domain_01,email_domain,email,job_01,3,2,1,0.456273,0.452552,0.003721,0.0,rank_change_in_top_k_union
email_domain_01,email_domain,email,job_14,2,3,1,0.457165,0.451653,0.005512,0.0,rank_change_in_top_k_union
