pair_id,category,field_changed,top_k,top_1_stable,top_k_overlap,max_rank_change,mean_rank_change,mean_score_delta,max_score_delta,top1_explanation_drift,flagged,flag_reasons
name_gender_01,name_gender_proxy,name,5,True,1.0,2,0.5333,0.002486,0.006748,0.0,False,
name_gender_02,name_gender_proxy,name,5,True,1.0,1,0.1333,0.002566,0.005019,0.0,True,rank_change_in_top_k_union
name_ethnicity_01,name_ethnicity_proxy,name,5,True,1.0,0,0,0.004883,0.010994,0.0,True,score_delta>0.01
name_ethnicity_02,name_ethnicity_proxy,name,5,True,0.8,3,1.0667,0.00816,0.016659,0.0,True,explanation_drift|rank_change_in_top_k_union|score_delta>0.01
nationality_phrase_01,nationality_phrase,summary_suffix,5,True,1.0,1,0.2667,0.00279,0.00609,0.0,True,explanation_drift|rank_change_in_top_k_union
nationality_phrase_02,nationality_phrase,summary_suffix,5,True,1.0,1,0.1333,0.003166,0.007695,0.0,False,
hometown_01,hometown_label,hometown_label,5,True,1.0,1,0.2667,0.002979,0.008173,0.0,True,rank_change_in_top_k_union
hometown_02,hometown_label,hometown_label,5,True,0.8,2,0.6667,0.003177,0.01,0.0,True,rank_change_in_top_k_union
pronouns_01,pronoun_label,pronouns_label,5,True,1.0,0,0,0.000916,0.002935,0.0,False,
email_domain_01,email_domain,email,5,True,1.0,1,0.2667,0.003295,0.005742,0.0,True,rank_change_in_top_k_union
