candidate_id,job_id,explain_mode,rank,faithfulness_score,specificity_score,mentions_matched_or_missing_skill,no_hallucinated_skills,component_claims_valid,has_specific_skill_reference,flagged,violations,hallucinated_skills,matched_skills,missing_skills,bullets
cv_01,job_10,rules,4,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Hadoop|Spark,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote preference may not match role setup
cv_02,job_02,rules,1,0.6667,1.0,True,False,True,True,True,hallucinated_skills,Java,JavaScript|React,,"Matching skills: javascript, react || Role title aligns with your profile (70% title fit) || High semantic similarity || Experience aligns with role requirement || Compensation expectations align"
cv_02,job_08,rules,2,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Mobile Development|React Native,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_02,job_13,rules,3,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Figma|UI/UX,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_02,job_01,rules,4,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Machine Learning|Python|TensorFlow,Role title differs from your stated background || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns || Top driver: Experience (100%); weakest signal: Skills overlap (0%)
cv_02,job_04,rules,5,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,pandas|Python,Role title differs from your stated background || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns || Top driver: Experience (100%); weakest signal: Skills overlap (0%)
cv_03,job_14,rules,2,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,C++|System Design,Role title aligns with your profile (69% title fit) || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_03,job_10,rules,3,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Hadoop|Spark,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_03,job_05,rules,4,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Docker|Kubernetes,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_03,job_12,rules,5,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Blockchain|Solidity,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_04,job_15,rules,3,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Power BI|SQL,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_04,job_02,rules,5,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,JavaScript|React,Role title differs from your stated background || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns || Top driver: Experience (100%); weakest signal: Skills overlap (0%)
cv_05,job_10,rules,2,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Hadoop|Spark,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_05,job_14,rules,3,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,C++|System Design,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_05,job_03,rules,4,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Java|Spring Boot,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Remote/work setup aligns || Top driver: Semantic fit (65%); weakest signal: Skills overlap (0%)
cv_05,job_06,rules,5,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Natural Language Processing|Python|Transformers,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_06,job_10,rules,4,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Hadoop|Spark,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote preference may not match role setup
cv_06,job_11,rules,5,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Agile|Product Management,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_07,job_08,rules,1,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,Mobile Development|React Native,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Compensation expectations align || Remote/work setup aligns
cv_07,job_02,rules,2,0.6667,0.5,False,True,True,False,True,missing_skill_reference|too_generic,,,JavaScript|React,Role title differs from your stated background || Moderate semantic similarity || Experience aligns with role requirement || Remote/work setup aligns || Top driver: Semantic fit (63%); weakest signal: Skills overlap (0%)
