query_id,doc_id,candidate_skills,candidate_experience_years,candidate_summary,job_title,job_required_skills,job_required_experience,job_remote_policy,shared_skill_count_HINT,stratum_HINT,grade_annotator1,grade_annotator2,adjudicated_grade,annotator_rationale
cv_01,job_04,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Data Analyst,Python; Pandas,1,True,1,hard_negative,,,,
cv_01,job_06,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",NLP Engineer,Python; NLP; Transformers,3,True,1,hard_negative,,,,
cv_04,job_01,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,1,hard_negative,,,,
cv_04,job_06,Python; Pandas; Data Visualization,2,"Data analyst skilled in Python, Pandas and visualization tools.",NLP Engineer,Python; NLP; Transformers,3,True,1,hard_negative,,,,
cv_06,job_04,TensorFlow; Deep Learning; Python,4,Deep learning engineer with TensorFlow and neural network experience.,Data Analyst,Python; Pandas,1,True,1,hard_negative,,,,
cv_12,job_04,Python; NLP; Transformers,4,NLP engineer experienced in transformer-based language models.,Data Analyst,Python; Pandas,1,True,1,hard_negative,,,,
cv_14,job_06,Python; Statistics; Machine Learning,2,Junior ML engineer with strong statistical background.,NLP Engineer,Python; NLP; Transformers,3,True,1,hard_negative,,,,
cv_18,job_06,Data Science; Python; Scikit-learn,3,Data scientist experienced in predictive modeling.,NLP Engineer,Python; NLP; Transformers,3,True,1,hard_negative,,,,
cv_21,job_01,Python; Flask; Backend Development,2,Backend developer experienced in Flask and REST APIs.,Machine Learning Engineer,Python; Machine Learning; TensorFlow,2,True,1,hard_negative,,,,
cv_21,job_06,Python; Flask; Backend Development,2,Backend developer experienced in Flask and REST APIs.,NLP Engineer,Python; NLP; Transformers,3,True,1,hard_negative,,,,
cv_01,job_02,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Frontend Developer,React; JavaScript,1,True,0,easy_negative,,,,
cv_01,job_03,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Backend Engineer,Java; Spring Boot,3,False,0,easy_negative,,,,
cv_01,job_05,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",DevOps Engineer,Docker; Kubernetes,4,False,0,easy_negative,,,,
cv_01,job_08,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Mobile Developer,React Native; Mobile Development,2,True,0,easy_negative,,,,
cv_01,job_09,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Cybersecurity Engineer,Cybersecurity; Network Security,4,False,0,easy_negative,,,,
cv_01,job_10,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Data Engineer,Spark; Hadoop,3,False,0,easy_negative,,,,
cv_01,job_11,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Product Manager,Product Management; Agile,5,True,0,easy_negative,,,,
cv_01,job_12,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Blockchain Developer,Blockchain; Solidity,3,False,0,easy_negative,,,,
cv_01,job_13,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",UI/UX Designer,UI/UX; Figma,2,True,0,easy_negative,,,,
cv_01,job_14,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Systems Engineer,C++; System Design,3,False,0,easy_negative,,,,
cv_01,job_15,Python; Machine Learning; AWS,3,"Rahul Sharma is a machine learning engineer with 3 years of experience in Python, AWS, and applied ML systems. He has worked on automation, cloud integrations, and production-facing software workflows.",Business Intelligence Analyst,SQL; Power BI,2,True,0,easy_negative,,,,
